content_hash_id,refresh_score,gsc_clicks,gsc_impressions,gsc_avg_position,days_since_update,priority
content_7bddc2288f6b0f4b,1.0,0,12,7.083333333333333,97,High
content_ee751ee89ff8e852,1.0,0,12,52.666666666666664,97,High
content_595cb8709686e9d3,1.0,0,0,,97,High
content_8000d654b5c7c9b3,1.0,0,24,9.583333333333334,1,High
content_b05323dcad7c4e46,1.0,0,94,7.329787234042553,13,High
content_7d4e85a9f673476a,1.0,0,0,,97,High
content_b459e4124bf77ce1,1.0,0,0,,97,High
content_986e75dbe89636ec,1.0,0,0,,97,High
content_45470e949c8363ea,1.0,0,14,11.285714285714286,97,High
content_b4bd76ef8a5a101c,1.0,0,24,10.416666666666666,-27,High
content_f8cd6b15cd8bab8e,1.0,0,0,,97,High
content_c0643d0a63474a88,1.0,0,1,10.0,97,High
content_52754d8ddfa665d2,1.0,0,2,0.5,97,High
content_d3fb5551552ef4a9,1.0,0,1,58.0,97,High
content_0606a43eb19ad8b8,1.0,0,138,10.840579710144928,-13,High
content_5c17b45658796706,1.0,0,42,4.023809523809524,-24,High
content_332f077b4a5db017,1.0,0,39,6.153846153846154,13,High
content_c6fb6c85772bd331,1.0,0,46,12.673913043478262,-24,High
content_0a0eb279e78702ff,1.0,0,26,9.692307692307692,13,High
content_d4f1c286298e8504,1.0,0,8,29.5,97,High
content_039b097c5d4e4666,1.0,0,12,33.583333333333336,97,High
content_866639a9b2ae124c,1.0,0,30,14.433333333333334,-24,High
content_6e1b9b77913220cd,1.0,0,7,46.57142857142857,97,High
content_b444617563e7aa80,1.0,0,0,,97,High
content_e048714088bfea5b,1.0,0,56,20.392857142857142,-26,High
content_759746163e4e52a6,1.0,0,29,17.75862068965517,97,High
content_33acab167fba21be,1.0,0,0,,97,High
content_3ace0ed788e113e3,1.0,0,133,38.68421052631579,97,High
content_40333912625170fe,1.0,0,16,18.75,97,High
content_e4a9c5921dab11cf,1.0,0,59,13.796610169491526,-22,High
content_3b58b9038819f70f,1.0,0,55,4.1454545454545455,-27,High
content_ec48d063f95c5eac,1.0,0,196,13.428571428571429,-26,High
content_867d9329ec2b88c7,1.0,0,136,31.88235294117647,13,High
content_f0f9c79d5dda53d0,1.0,2,188,23.829787234042552,-13,High
content_145889f7d91ea2a9,1.0,0,45,31.08888888888889,1,High
content_dd1dc0f4407cebf5,1.0,0,0,,97,High
content_8dfb89dab691d4d3,1.0,0,0,,97,High
content_330710e71e283ddd,1.0,0,0,,97,High
content_50094f5f7a9fa870,1.0,0,0,,97,High
content_66355a2a2d1d16ce,1.0,0,40,21.375,13,High
content_0cb628c147e3025c,1.0,0,0,,97,High
content_1ea596bd5f14255b,1.0,0,72,3.361111111111111,13,High
content_070944208ef3a890,1.0,0,0,,97,High
content_adb9729a534d46bb,1.0,0,147,3.9183673469387754,-24,High
content_a83886d0d14f405e,1.0,0,0,,97,High
content_9293ec528cb0485d,1.0,0,0,,97,High
content_01a61006bfe29c7c,1.0,0,28,7.821428571428571,-24,High
content_9b9743acf2ebde50,1.0,0,0,,97,High
content_d65f50005cb4245d,1.0,0,0,,97,High
content_bea7969fc66804ae,1.0,0,0,,97,High
content_4f586505a0c33713,1.0,0,0,,97,High
content_6e55e68fa18ec1c2,1.0,0,0,,97,High
content_073478ccad55cba0,1.0,0,156,7.512820512820513,-24,High
content_1686f7bb85a39407,1.0,0,19,38.21052631578947,97,High
content_df8d443029135479,1.0,0,25,7.36,-27,High
content_a75ee16033e3c124,1.0,0,69,5.492753623188406,13,High
content_a89b56ba3fe090d0,1.0,0,0,,97,High
content_5f6a51446043e19b,1.0,0,0,,97,High
